Node ST Serotypes ICSR n SND
303 244 O2.O5 2 3 344.747948360502
302 244 O2.O5 2 3 235.152850469343
301 244 O2.O5 2 4 163.565626603385
247 253 O10.O12 2 6 31.1658681920681
270 111 O12.O4 2 9 24.5496370830663
300 244 O12.O2.O5 3 5 15.1813892645404
290 1754.499 O1.O11 2 2 7.88930940744623
292 17.882 O1.O6 2 3 6.73589605425664
305 245.3134.360 O2.O9 2 3 5.6163944027151
170 1889.395.683 O11.O6 2 4 4.10905302490537
299 244.611 O12.O2.O5 3 6 3.96418643848373
240 1149.1632.3194 O1.O7 2 3 3.60288578721014
162 252.261.27.792 O1.O6 2 4 3.54515170890723
291 17.500.649.882 O1.O6 2 5 3.07513734626614
297 244.447.611.664 O12.O2.O5 3 8 2.63984326911955
296 244.245.3134.360.447.611.664 O12.O2.O5.O9 4 11 2.59949589592315
246 253.365 O10.O12.O3 3 7 2.39793002877535
269 111.390 O12.O4.O6 3 10 2.16581770893842
167 1889.2136.260.3154.395.683 O11.O6 2 7 1.92496706598771
238 1149.1632.2223.253.3194.365.446 O1.O10.O11.O12.O3.O7 6 15 1.84995663206421
239 1149.1632.2223.3194.446 O1.O11.O7 3 8 1.80888750294379
278 1068.1134.1754.217.274.3153.3196.499 O1.O11.O3 3 14 1.39397843444205
279 1068.1134.217.274.3153.3196 O11.O3 2 12 1.10286893887641
237 1149.1632.2223.235.253.3194.365.446 O1.O10.O11.O12.O3.O7 6 33 0.860890150677091
230 1149.1632.2223.235.253.308.3194.365.446 O1.O10.O11.O12.O3.O7 6 38 0.786933444655241
226 111.1149.1632.2223.235.253.273.2935.308.3149.3194.365.390.446 O1.O10.O11.O12.O3.O4.O6.O7 8 50 0.631296045849308
156 1068.111.1134.1149.155.1632.17.175.1754.179.1889.189.2136.217.2223.231.235.244.245.252.253.260.261.27.273.274.2935.2956.308.3134.3149.3153.3154.3155.3194.3196.360.365.390.395.446.447.499.500.611.649.664.683.792.882.973.992 O1.O10.O11.O12.O15.O2.O3.O4.O5.O6.O7.O9 12 145 0.616153150539539
158 1068.111.1134.1149.155.1632.17.175.1754.179.1889.189.2136.217.2223.231.235.244.245.252.253.260.261.27.273.274.2935.2956.308.3134.3149.3153.3154.3194.3196.360.365.390.395.446.447.499.500.611.649.664.683.792.882.973 O1.O10.O11.O12.O15.O2.O3.O4.O5.O6.O7.O9 12 143 0.587000197630688
227 1149.1632.2223.235.253.273.2935.308.3149.3194.365.446 O1.O10.O11.O12.O3.O4.O6.O7 8 40 0.585399543418809
157 1068.111.1134.1149.155.1632.17.175.1754.179.1889.189.2136.217.2223.231.235.244.245.252.253.260.261.27.273.274.2935.2956.308.3134.3149.3153.3154.3194.3196.360.365.390.395.446.447.499.500.611.649.664.683.792.882.973.992 O1.O10.O11.O12.O15.O2.O3.O4.O5.O6.O7.O9 12 144 0.571203955365113
160 1068.111.1134.1149.155.1632.17.175.1754.179.1889.2136.217.2223.235.244.245.252.253.260.261.27.273.274.2935.2956.308.3134.3149.3153.3154.3194.3196.360.365.390.395.446.447.499.500.611.649.664.683.792.882.973 O1.O10.O11.O12.O15.O2.O3.O4.O5.O6.O7.O9 12 141 0.552214451081848
165 1068.111.1134.1149.155.1632.17.175.1754.179.1889.2136.217.2223.235.253.260.273.274.2935.2956.308.3149.3153.3154.3194.3196.365.390.395.446.499.500.649.683.882.973 O1.O10.O11.O12.O15.O3.O4.O6.O7 9 126 0.449788541976058
175 155.175.179.2956.973 O15.O4.O6 3 50 0.447743277228668
174 111.1149.155.1632.175.179.2223.235.253.273.2935.2956.308.3149.3194.365.390.446.973 O1.O10.O11.O12.O15.O3.O4.O6.O7 9 100 0.446138114869805
161 1068.111.1134.1149.155.1632.17.175.1754.179.1889.2136.217.2223.235.252.253.260.261.27.273.274.2935.2956.308.3149.3153.3154.3194.3196.365.390.395.446.499.500.649.683.792.882.973 O1.O10.O11.O12.O15.O3.O4.O6.O7 9 130 0.441235487272234
166 1068.111.1134.1149.155.1632.175.1754.179.1889.2136.217.2223.235.253.260.273.274.2935.2956.308.3149.3153.3154.3194.3196.365.390.395.446.499.683.973 O1.O10.O11.O12.O15.O3.O4.O6.O7 9 121 0.434647639621205
173 1068.111.1134.1149.155.1632.175.1754.179.217.2223.235.253.273.274.2935.2956.308.3149.3153.3194.3196.365.390.446.499.973 O1.O10.O11.O12.O15.O3.O4.O6.O7 9 114 0.431270648697202
182 175.973 O15.O4 2 44 0.377225109701985
228 1149.1632.2223.235.253.2935.308.3149.3194.365.446 O1.O10.O11.O12.O3.O6.O7 7 39 0.371416638371489
229 1149.1632.2223.235.253.2935.308.3194.365.446 O1.O10.O11.O12.O3.O7 6 38 0.212943339363651
