"Name" "Serotype" "Coverage" "Identity" "Row" "Besthit" "Fragments"
"GCA_000789485.1_AZPAE15049_genomic.fna" "O3" 100 99.66 "1" "O3" "1"
"GCA_000789495.1_AZPAE15035_genomic.fna" "O7" 100 99.8 "6" "O7" "1"
"GCA_000789525.1_AZPAE14909_genomic.fna" "O4" 100 99.84 "5" "O4" "1"
"GCA_000789535.1_AZPAE14929_genomic.fna" "O6" 100 99.77 "1" "O6" "1"
"GCA_000789545.1_AZPAE14918_genomic.fna" "O6" 100 99.74 "1" "O6" "1"
"GCA_000789555.1_AZPAE14840_genomic.fna" "O7" 100 99.83 "3" "O7" "1"
"GCA_000789605.1_AZPAE14841_genomic.fna" "O2" 100 99.77 "3" "O2" "1"
"GCA_000789625.1_AZPAE14842_genomic.fna" "O11" 100 99.45 "2" "O11" "1"
"GCA_000789635.1_AZPAE14843_genomic.fna" "O11" 100 99.46 "4" "O11" "1"
"GCA_000789645.1_AZPAE15036_genomic.fna" "O1" 100 99.67 "2" "O1" "1"
"GCA_000789685.1_AZPAE14844_genomic.fna" "O1" 100 99.83 "9" "O1" "1"
"GCA_000789705.1_AZPAE14845_genomic.fna" "O10" 100 99.98 "4" "O10" "1"
"GCA_000789725.1_AZPAE14941_genomic.fna" "O12" 100 99.37 "2" "O12" "1"
"GCA_000789745.1_AZPAE14846_genomic.fna" "O12" 100 99.33 "3" "O12" "1"
"GCA_000789755.1_AZPAE14847_genomic.fna" "O3" 100 99.67 "2" "O3" "1"
"GCA_000789785.1_AZPAE14850_genomic.fna" "O10" 100 99.99 "4" "O10" "1"
"GCA_000789805.1_AZPAE14848_genomic.fna" "O6" 100 99.42 "1" "O6" "1"
"GCA_000789815.1_AZPAE14919_genomic.fna" "O6" 100 99.43 "2" "O6" "1"
"GCA_000789835.1_AZPAE14851_genomic.fna" "O6" 100 99.99 "3" "O6" "1"
"GCA_000789845.1_AZPAE14852_genomic.fna" "O4" 100 99.9 "2" "O4" "1"
"GCA_000789885.1_AZPAE14915_genomic.fna" "O5" 100 99.78 "3" "O5" "1"
"GCA_000789905.1_AZPAE14853_genomic.fna" "O2" 99.59 99.88 "4.16.15" "O2" "3"
"GCA_000789925.1_AZPAE14855_genomic.fna" "O11" 100 99.99 "2" "O11" "1"
"GCA_000789935.1_AZPAE15037_genomic.fna" "O6" 100 100 "1" "O6" "1"
"GCA_000789965.1_AZPAE14856_genomic.fna" "O6" 100 99.42 "1" "O6" "1"
"GCA_000789975.1_AZPAE14910_genomic.fna" "O6" 100 99.73 "1" "O6" "1"
"GCA_000789995.1_AZPAE14857_genomic.fna" "O1" 100 99.65 "2" "O1" "1"
"GCA_000790025.1_AZPAE14858_genomic.fna" "O11" 100 99.45 "3" "O11" "1"
"GCA_000790035.1_AZPAE14859_genomic.fna" "O11" 100 99.68 "2" "O11" "1"
"GCA_000790065.1_AZPAE14860_genomic.fna" "O11" 100 99.44 "1" "O11" "1"
"GCA_000790085.1_AZPAE14861_genomic.fna" "O6" 100 99.9 "3" "O6" "1"
"GCA_000790105.1_AZPAE14862_genomic.fna" "O4" 100 99.9 "6" "O4" "1"
"GCA_000790115.1_AZPAE15038_genomic.fna" "O3" 100 99.85 "2" "O3" "1"
"GCA_000790145.1_AZPAE14863_genomic.fna" "O11" 100 99.47 "1" "O11" "1"
"GCA_000790155.1_AZPAE14864_genomic.fna" "O1" 100 99.71 "2" "O1" "1"
"GCA_000790185.1_AZPAE14865_genomic.fna" "O11" 100 99.47 "5.4" "O11" "2"
"GCA_000790205.1_AZPAE14866_genomic.fna" "O6" 100 99.8 "5" "O6" "1"
"GCA_000790215.1_AZPAE14867_genomic.fna" "O2" 98.75 99.77 "4.15" "O2" "2"
"GCA_000790245.1_AZPAE14868_genomic.fna" "O1" 100 99.85 "2" "O1" "1"
"GCA_000790265.1_AZPAE14869_genomic.fna" "O11" 100 99.41 "3" "O11" "1"
"GCA_000790285.1_AZPAE15046_genomic.fna" "O6" 100 99.83 "1" "O6" "1"
"GCA_000790305.1_AZPAE14870_genomic.fna" "O11" 100 99.42 "2" "O11" "1"
"GCA_000790325.1_AZPAE14871_genomic.fna" "O11" 100 99.7 "27.3.20" "O11" "3"
"GCA_000790345.1_AZPAE15039_genomic.fna" "O11" 100 99.4 "3" "O11" "1"
"GCA_000790355.1_AZPAE14872_genomic.fna" "O12" 100 99.36 "3" "O12" "1"
"GCA_000790385.1_AZPAE14873_genomic.fna" "O6" 100 99.73 "1" "O6" "1"
"GCA_000790405.1_AZPAE14874_genomic.fna" "O11" 100 99.47 "5" "O11" "1"
"GCA_000790425.1_AZPAE14875_genomic.fna" "O5" 100 99.34 "2" "O5" "1"
"GCA_000790445.1_AZPAE14876_genomic.fna" "O6" 100 99.74 "1" "O6" "1"
"GCA_000790465.1_AZPAE15042_genomic.fna" "NT" 79.87 92.34 "2.3" "O11" "2"
"GCA_000790485.1_AZPAE14877_genomic.fna" "O3" 100 97.48 "2.13" "O3" "2"
"GCA_000790505.1_AZPAE14878_genomic.fna" "O13" 100 97.45 "4.15" "O13" "2"
"GCA_000790525.1_AZPAE14879_genomic.fna" "O3" 100 99.85 "1" "O3" "1"
"GCA_000790545.1_AZPAE14880_genomic.fna" "O4" 100 99.84 "3" "O4" "1"
"GCA_000790565.1_AZPAE14881_genomic.fna" "O4" 100 99.84 "6" "O4" "1"
"GCA_000790585.1_AZPAE15024_genomic.fna" "O10" 100 99.99 "4" "O10" "1"
"GCA_000790605.1_AZPAE14882_genomic.fna" "O6" 97.28 99.7 "1.2" "O6" "2"
"GCA_000790625.1_AZPAE15053_genomic.fna" "O5" 99.05 99.77 "17.5.4" "O5" "3"
"GCA_000790645.1_AZPAE14883_genomic.fna" "O3" 100 99.68 "2" "O3" "1"
"GCA_000790655.1_AZPAE14884_genomic.fna" "O9" 100 99.39 "1" "O9" "1"
"GCA_000790685.1_AZPAE14885_genomic.fna" "O3" 100 99.69 "15.2" "O3" "2"
"GCA_000790705.1_AZPAE14886_genomic.fna" "O12" 100 99.35 "1" "O12" "1"
"GCA_000790725.1_AZPAE14887_genomic.fna" "O11" 100 99.47 "2" "O11" "1"
"GCA_000790735.1_AZPAE15041_genomic.fna" "O13" 100 97.47 "22.4.1.26" "O13" "4"
"GCA_000790765.1_AZPAE15043_genomic.fna" "O11" 100 99.42 "2" "O11" "1"
"GCA_000790785.1_AZPAE14888_genomic.fna" "O13" 100 97.49 "1" "O13" "1"
"GCA_000790805.1_AZPAE14889_genomic.fna" "O11" 100 99.42 "3" "O11" "1"
"GCA_000790825.1_AZPAE14890_genomic.fna" "O4" 100 99.83 "5" "O4" "1"
"GCA_000790835.1_AZPAE15047_genomic.fna" "O11" 100 99.42 "1" "O11" "1"
"GCA_000790865.1_AZPAE14891_genomic.fna" "O6" 100 99.86 "2" "O6" "1"
"GCA_000790885.1_AZPAE14892_genomic.fna" "O1" 100 99.52 "6" "O1" "1"
"GCA_000790905.1_AZPAE14893_genomic.fna" "O6" 100 99.99 "1" "O6" "1"
"GCA_000790915.1_AZPAE15040_genomic.fna" "O3" 100 99.99 "1" "O3" "1"
"GCA_000790935.1_AZPAE14894_genomic.fna" "O11" 100 99.44 "1" "O11" "1"
"GCA_000790965.1_AZPAE14895_genomic.fna" "O1" 100 99.98 "1" "O1" "1"
