x1,x2,Seq,y1,ST,Names,Dataset,dNames,size
1733955,2134730,GCA_001449465.1_WH-SGI-V-07165_genomic.fna.txt,8.7,1006,GCA_001449465.1_WH-SGI-V-07165_genomic.fna.txt,2,WH-SGI-V-07165,400775
1974940,2044628,GCA_000790705.1_AZPAE14886_genomic.fna.txt,8.6,111,GCA_000790705.1_AZPAE14886_genomic.fna.txt,2,AZPAE14886,69688
1974940,2044628,GCA_000792305.1_AZPAE14983_genomic.fna.txt,8.5,111,GCA_000792305.1_AZPAE14983_genomic.fna.txt,2,AZPAE14983,69688
1974940,2044628,GCA_000792705.1_AZPAE15002_genomic.fna.txt,8.4,111,GCA_000792705.1_AZPAE15002_genomic.fna.txt,2,AZPAE15002,69688
1969215,2044628,GCA_000792805.1_AZPAE15007_genomic.fna.txt,8.3,111,GCA_000792805.1_AZPAE15007_genomic.fna.txt,2,AZPAE15007,75413
1974940,2038104,GCA_000792845.1_AZPAE15009_genomic.fna.txt,8.2,111,GCA_000792845.1_AZPAE15009_genomic.fna.txt,2,AZPAE15009,63164
1974940,2044628,GCA_000793395.1_AZPAE15066_genomic.fna.txt,8.1,111,GCA_000793395.1_AZPAE15066_genomic.fna.txt,2,AZPAE15066,69688
1974940,2044628,GCA_000794085.1_AZPAE14933_genomic.fna.txt,8,111,GCA_000794085.1_AZPAE14933_genomic.fna.txt,2,AZPAE14933,69688
1974964,2044628,GCA_000794405.1_AZPAE14554_genomic.fna.txt,7.9,111,GCA_000794405.1_AZPAE14554_genomic.fna.txt,2,AZPAE14554,69664
1974940,2044628,GCA_000794885.1_AZPAE14727_genomic.fna.txt,7.8,111,GCA_000794885.1_AZPAE14727_genomic.fna.txt,2,AZPAE14727,69688
1974940,2044628,GCA_000794905.1_AZPAE14728_genomic.fna.txt,7.7,111,GCA_000794905.1_AZPAE14728_genomic.fna.txt,2,AZPAE14728,69688
1974940,2044628,GCA_000794925.1_AZPAE14729_genomic.fna.txt,7.6,111,GCA_000794925.1_AZPAE14729_genomic.fna.txt,2,AZPAE14729,69688
1974940,2044628,GCA_000795865.1_AZPAE14724_genomic.fna.txt,7.5,111,GCA_000795865.1_AZPAE14724_genomic.fna.txt,2,AZPAE14724,69688
1974940,2044628,GCA_000795945.1_AZPAE14381_genomic.fna.txt,7.4,111,GCA_000795945.1_AZPAE14381_genomic.fna.txt,2,AZPAE14381,69688
1974940,2044628,GCA_000796025.1_AZPAE14707_genomic.fna.txt,7.3,111,GCA_000796025.1_AZPAE14707_genomic.fna.txt,2,AZPAE14707,69688
1974940,2044628,GCA_000796205.1_AZPAE14415_genomic.fna.txt,7.2,111,GCA_000796205.1_AZPAE14415_genomic.fna.txt,2,AZPAE14415,69688
1974940,2044628,GCA_000796365.1_AZPAE14463_genomic.fna.txt,7.1,111,GCA_000796365.1_AZPAE14463_genomic.fna.txt,2,AZPAE14463,69688
1974940,2044628,GCA_000796475.1_AZPAE14535_genomic.fna.txt,7,111,GCA_000796475.1_AZPAE14535_genomic.fna.txt,2,AZPAE14535,69688
1974940,2044628,GCA_000796845.1_AZPAE14714_genomic.fna.txt,6.9,111,GCA_000796845.1_AZPAE14714_genomic.fna.txt,2,AZPAE14714,69688
1974940,2044628,GCA_000797085.1_AZPAE14713_genomic.fna.txt,6.8,111,GCA_000797085.1_AZPAE14713_genomic.fna.txt,2,AZPAE14713,69688
1974940,2044628,GCA_000797395.1_AZPAE13756_genomic.fna.txt,6.7,111,GCA_000797395.1_AZPAE13756_genomic.fna.txt,2,AZPAE13756,69688
1974852,2044628,GCA_001449515.1_WH-SGI-V-07168_genomic.fna.txt,6.6,111,GCA_001449515.1_WH-SGI-V-07168_genomic.fna.txt,2,WH-SGI-V-07168,69776
1974721,2044628,GCA_001449555.1_WH-SGI-V-07171_genomic.fna.txt,6.5,111,GCA_001449555.1_WH-SGI-V-07171_genomic.fna.txt,2,WH-SGI-V-07171,69907
1974721,2044628,GCA_001449605.1_WH-SGI-V-07174_genomic.fna.txt,6.4,111,GCA_001449605.1_WH-SGI-V-07174_genomic.fna.txt,2,WH-SGI-V-07174,69907
1974847,2044628,GCA_001449625.1_WH-SGI-V-07175_genomic.fna.txt,6.3,111,GCA_001449625.1_WH-SGI-V-07175_genomic.fna.txt,2,WH-SGI-V-07175,69781
1973857,2044628,GCA_001449675.1_WH-SGI-V-07180_genomic.fna.txt,6.2,111,GCA_001449675.1_WH-SGI-V-07180_genomic.fna.txt,2,WH-SGI-V-07180,70771
1974721,2044628,GCA_001449705.1_WH-SGI-V-07221_genomic.fna.txt,6.1,111,GCA_001449705.1_WH-SGI-V-07221_genomic.fna.txt,2,WH-SGI-V-07221,69907
