"Seqname" "ST" "acsA" "aroE" "guaA" "mutL" "nuoD" "ppsA" "trpE"
"GCA_000789485.1_AZPAE15049_genomic.fna.txt" 569 11 5 11 11 3 6 27
"GCA_000789495.1_AZPAE15035_genomic.fna.txt" 560 5 5 57 13 1 40 3
"GCA_000789525.1_AZPAE14909_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_000789535.1_AZPAE14929_genomic.fna.txt" 233 16 5 30 11 4 31 41
"GCA_000789545.1_AZPAE14918_genomic.fna.txt" 2718 17 5 36 7 27 13 7
"GCA_000789555.1_AZPAE14840_genomic.fna.txt" 1960 16 5 77 3 1 4 7
"GCA_000789605.1_AZPAE14841_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000789625.1_AZPAE14842_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000789635.1_AZPAE14843_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000789645.1_AZPAE15036_genomic.fna.txt" 406 40 5 11 3 4 13 7
"GCA_000789685.1_AZPAE14844_genomic.fna.txt" 27 6 5 6 7 4 6 7
"GCA_000789705.1_AZPAE14845_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000789725.1_AZPAE14941_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000789745.1_AZPAE14846_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000789755.1_AZPAE14847_genomic.fna.txt" 2715 28 5 11 7 1 7 61
"GCA_000789785.1_AZPAE14850_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000789805.1_AZPAE14848_genomic.fna.txt" 2625 114 73 32 3 4 4 1
"GCA_000789815.1_AZPAE14919_genomic.fna.txt" 369 1 5 20 16 3 4 7
"GCA_000789835.1_AZPAE14851_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000789845.1_AZPAE14852_genomic.fna.txt" 639 11 19 19 3 4 4 7
"GCA_000789885.1_AZPAE14915_genomic.fna.txt" 267 19 5 12 11 11 4 14
"GCA_000789905.1_AZPAE14853_genomic.fna.txt" 277 39 5 9 11 27 5 2
"GCA_000789925.1_AZPAE14855_genomic.fna.txt" 2021 11 5 37 34 4 13 7
"GCA_000789935.1_AZPAE15037_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000789965.1_AZPAE14856_genomic.fna.txt" 108 39 5 20 5 1 6 31
"GCA_000789975.1_AZPAE14910_genomic.fna.txt" 241 17 5 11 5 4 4 7
"GCA_000789995.1_AZPAE14857_genomic.fna.txt" 17 11 5 1 7 9 4 7
"GCA_000790025.1_AZPAE14858_genomic.fna.txt" 1284 32 8 5 3 5 6 26
"GCA_000790035.1_AZPAE14859_genomic.fna.txt" 640 11 5 98 5 3 10 85
"GCA_000790065.1_AZPAE14860_genomic.fna.txt" 308 13 4 5 5 12 7 15
"GCA_000790085.1_AZPAE14861_genomic.fna.txt" 132 6 20 1 3 4 4 2
"GCA_000790105.1_AZPAE14862_genomic.fna.txt" 621 15 5 20 5 1 4 25
"GCA_000790115.1_AZPAE15038_genomic.fna.txt" 116 28 24 22 18 3 15 7
"GCA_000790145.1_AZPAE14863_genomic.fna.txt" 357 2 4 5 3 1 6 11
"GCA_000790155.1_AZPAE14864_genomic.fna.txt" 16 28 5 12 11 27 1 44
"GCA_000790185.1_AZPAE14865_genomic.fna.txt" 357 2 4 5 3 1 6 11
"GCA_000790205.1_AZPAE14866_genomic.fna.txt" 1101 16 134 11 7 4 15 19
"GCA_000790215.1_AZPAE14867_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000790245.1_AZPAE14868_genomic.fna.txt" 2572 28 5 4 77 3 15 10
"GCA_000790265.1_AZPAE14869_genomic.fna.txt" 319 5 4 3 3 1 11 8
"GCA_000790285.1_AZPAE15046_genomic.fna.txt" 2238 6 10 1 3 27 4 7
"GCA_000790305.1_AZPAE14870_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_000790325.1_AZPAE14871_genomic.fna.txt" 885 17 5 4 5 4 15 19
"GCA_000790345.1_AZPAE15039_genomic.fna.txt" 309 13 8 9 3 1 17 15
"GCA_000790355.1_AZPAE14872_genomic.fna.txt" 244 17 5 12 3 14 4 7
"GCA_000790385.1_AZPAE14873_genomic.fna.txt" 883 17 5 11 5 3 4 7
"GCA_000790405.1_AZPAE14874_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000790425.1_AZPAE14875_genomic.fna.txt" 381 11 20 1 65 4 4 10
"GCA_000790445.1_AZPAE14876_genomic.fna.txt" 2717 11 48 12 5 4 4 2
"GCA_000790465.1_AZPAE15042_genomic.fna.txt" 2211 87 34 114 37 86 100 170
"GCA_000790485.1_AZPAE14877_genomic.fna.txt" 9999 0 1 0 0 0 0 0
"GCA_000790505.1_AZPAE14878_genomic.fna.txt" 606 23 5 57 30 1 4 3
"GCA_000790525.1_AZPAE14879_genomic.fna.txt" 116 28 24 22 18 3 15 7
"GCA_000790545.1_AZPAE14880_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_000790565.1_AZPAE14881_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_000790585.1_AZPAE15024_genomic.fna.txt" 253 4 4 16 12 1 6 3
"GCA_000790605.1_AZPAE14882_genomic.fna.txt" 865 15 5 83 11 4 4 7
"GCA_000790625.1_AZPAE15053_genomic.fna.txt" 699 7 5 7 3 4 1 7
"GCA_000790645.1_AZPAE14883_genomic.fna.txt" 701 29 1 9 13 1 6 23
"GCA_000790655.1_AZPAE14884_genomic.fna.txt" 1184 6 5 36 3 3 103 2
"GCA_000790685.1_AZPAE14885_genomic.fna.txt" 3119 6 5 11 11 15 4 260
"GCA_000790705.1_AZPAE14886_genomic.fna.txt" 111 17 5 5 4 4 4 3
"GCA_000790725.1_AZPAE14887_genomic.fna.txt" 235 38 11 3 13 1 2 4
"GCA_000790735.1_AZPAE15041_genomic.fna.txt" 2725 5 5 57 30 1 4 3
"GCA_000790765.1_AZPAE15043_genomic.fna.txt" 446 18 4 5 3 1 17 13
"GCA_000790785.1_AZPAE14888_genomic.fna.txt" 606 23 5 57 30 1 4 3
"GCA_000790805.1_AZPAE14889_genomic.fna.txt" 773 5 4 5 5 5 7 8
"GCA_000790825.1_AZPAE14890_genomic.fna.txt" 175 28 22 5 3 3 14 19
"GCA_000790835.1_AZPAE15047_genomic.fna.txt" 298 18 4 13 3 1 17 13
"GCA_000790865.1_AZPAE14891_genomic.fna.txt" 262 17 5 1 3 4 15 7
"GCA_000790885.1_AZPAE14892_genomic.fna.txt" 313 47 8 7 6 8 11 40
"GCA_000790905.1_AZPAE14893_genomic.fna.txt" 395 6 5 1 1 1 12 1
"GCA_000790915.1_AZPAE15040_genomic.fna.txt" 274 23 5 11 7 1 12 7
